,Title,Artist
197,Shotta Flow,NLE Choppa
198,Armed And Dangerous,Juice WRLD
199,Red Room,Offset
200,Old Town Road,Lil Nas
201,Wow.,Post Malone
202,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone
203,Talk,Khalid
204,Middle Child,J. Cole
205,Please Me,Cardi B
206,Going Bad,Meek Mill
207,Better,Khalid
208,Thotiana,Blueface
209,Pure Water,Mustard
210,A Lot,21 Savage
211,Look Back At It,A Boogie Wit da Hoodie
212,Act Up,City Girls
213,Envy Me,Calboy
214,Sanguine Paradise,Lil Uzi Vert
215,Murder On My Mind,YNW Melly
216,Clout,Offset
217,Suge,DaBaby
218,Racks In The Middle,Nipsey Hussle
219,Swervin,A Boogie Wit da Hoodie
220,Close Friends,Lil Baby
221,Worth It,YK Osiris
222,Pop Out,Polo G
223,Mixed Personalities,YNW Melly
224,Robbery,Juice WRLD
225,Girls Need Love,Summer Walker
226,Before I Let Go,Beyonce
227,Big Ole Freak,Megan Thee Stallion
228,Put A Date On It,Yo Gotti
229,Shot Clock,Ella Mai
230,That's A Rack,Lil Uzi Vert
231,Faucet Failure,Ski Mask The Slump God
232,Slide,French Montana
233,Saturday Nights,Khalid
234,Shotta Flow,NLE Choppa
235,Power Is Power,"SZA, The Weeknd"
236,Wrong,Luh Kel
237,Die Young,Roddy Ricch
238,Double Up,Nipsey Hussle
239,I,Lil Skies
240,24/7,Meek Mill
241,Rule The World,2 Chainz
242,Twerk,City Girls
243,Ex,Kiana Lede
244,Juice,Lizzo
245,Slow Dancing In The Dark,Joji
246,Outta My Head,Khalid With John Mayer
247,West Coast,G-Eazy
248,Hear Me Calling,Juice WRLD
249,Splashin,Rich The Kid
250,Old Town Road,Lil Nas
251,Talk,Khalid
252,Wow.,Post Malone
253,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone
254,Earfquake,"Tyler, The Creator"
255,Suge,DaBaby
256,Middle Child,J. Cole
257,Wish Wish,DJ Khaled
258,Higher,DJ Khaled
259,Going Bad,Meek Mill
260,Pure Water,Mustard
261,Look Back At It,A Boogie Wit da Hoodie
262,Pop Out,Polo G
263,Please Me,Cardi B
264,Act Up,City Girls
265,Truth Hurts,Lizzo
266,Envy Me,Calboy
267,Just Us,DJ Khaled
268,You Stay,DJ Khaled
269,A Lot,21 Savage
270,Thotiana,Blueface
271,I Think,"Tyler, The Creator"
272,Celebrate,DJ Khaled
273,Homicide,Logic
274,Clout,Offset
275,Jealous,DJ Khaled
276,Close Friends,Lil Baby
277,Murder On My Mind,YNW Melly
278,Worth It,YK Osiris
279,Sanguine Paradise,Lil Uzi Vert
280,Put A Date On It,Yo Gotti
281,Running Out Of Time,"Tyler, The Creator"
282,Igor's Theme,"Tyler, The Creator"
283,New Magic Wand,"Tyler, The Creator"
284,Big Ole Freak,Megan Thee Stallion
285,A Boy Is A Gun,"Tyler, The Creator"
286,Racks In The Middle,Nipsey Hussle
287,Before I Let Go,Beyonce
288,Girls Need Love,Summer Walker
289,Robbery,Juice WRLD
290,What's Good,"Tyler, The Creator"
291,Shotta Flow,NLE Choppa
292,Puppet,"Tyler, The Creator"
