Title,Artist
"Break Up With Your Girlfriend, I'm Bored",Ariana Grande
Sweet But Psycho,Ava Max
7 Rings,Ariana Grande
Wow.,Post Malone
Without Me,Halsey
Eastside,"benny blanco, Halsey & Khalid"
Close To Me,Ellie Goulding X Diplo Featuring Swae Lee
Better,Khalid
Old Town Road,Lil Nas X Featuring Billy Ray Cyrus
Be Alright,Dean Lewis
Who Do You Love,The Chainsmokers Featuring 5 Seconds Of Summer
Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee
Here With Me,Marshmello Featuring CHVRCHES
I've Been Waiting,Lil Peep & iLoveMakonnen Featuring Fall Out Boy
Don't Call Me Up,Mabel
Cool,Jonas Brothers
Shallow,Lady Gaga & Bradley Cooper
ME!,Taylor Swift Featuring Brendon Urie
Talk,Khalid
When The Party's Over,Billie Eilish
"Hey Look Ma, I Made It",Panic! At The Disco
I'm So Tired...,Lauv & Troye Sivan
Undrunk,FLETCHER
Last Hurrah,Bebe Rexha
Boy With Luv,BTS Featuring Halsey
Low Key,Ally Brooke Featuring Tyga
Out Of Love,Alessia Cara
You Say,Lauren Daigle
Con Calma,Daddy Yankee & Katy Perry Featuring Snow
I Can't Get Enough,"benny blanco, Tainy, Selena Gomez & J Balvin"
Woke Up Late,Drax Project Featuring Hailee Steinfield
La La Land,Bryce Vine Featuring YG
Please Me,Cardi B & Bruno Mars
All My Friends,AJ Mitchell
Bad Guy,Billie Eilish
So Close,NOTD & Felix Jaehn Featuring Georgia Ku & Captain Cuts
Juice,Lizzo
Walk Me Home,P!nk
Sucker,Jonas Brothers
Dancing With A Stranger,Sam Smith & Normani
Sweet But Psycho,Ava Max
Wow.,Post Malone
"Break Up With Your Girlfriend, I'm Bored",Ariana Grande
Old Town Road,Lil Nas X Featuring Billy Ray Cyrus
ME!,Taylor Swift Featuring Brendon Urie
Talk,Khalid
I Don't Care,Ed Sheeran & Justin Bieber
7 Rings,Ariana Grande
If I Can't Have You,Shawn Mendes
Without Me,Halsey
Eastside,"benny blanco, Halsey & Khalid"
Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee
"Hey Look Ma, I Made It",Panic! At The Disco
Cool,Jonas Brothers
Who Do You Love,The Chainsmokers Featuring 5 Seconds Of Summer
When The Party's Over,Billie Eilish
Bad Guy,Billie Eilish
Con Calma,Daddy Yankee & Katy Perry Featuring Snow
Don't Call Me Up,Mabel
Nightmare,Halsey
Here With Me,Marshmello Featuring CHVRCHES
Boy With Luv,BTS Featuring Halsey
I'm So Tired...,Lauv & Troye Sivan
La La Land,Bryce Vine Featuring YG
Out Of Love,Alessia Cara
All My Friends,AJ Mitchell
Juice,Lizzo
Easier,5 Seconds Of Summer
Wake Up,Travis Scott
Walk Me Home,P!nk
So Close,NOTD & Felix Jaehn Featuring Georgia Ku & Captain Cuts
Speechless,Dan + Shay
Medicine,Jennifer Lopez & French Montana
Chlorine,twenty one pilots
Love Me Less,MAX & Quinn XCII
Cross Me,Ed Sheeran Featuring Chance The Rapper & PnB Rock
Summer Days,Martin Garrix Featuring Macklemore & Patrick Stump
Look Back At It,A Boogie Wit da Hoodie
Talk,Khalid
Sucker,Jonas Brothers
I Don't Care,Ed Sheeran & Justin Bieber
Bad Guy,Billie Eilish
Wow.,Post Malone
If I Can't Have You,Shawn Mendes
Old Town Road,Lil Nas X Featuring Billy Ray Cyrus
Dancing With A Stranger,Sam Smith & Normani
"Hey Look Ma, I Made It",Panic! At The Disco
Cool,Jonas Brothers
Never Really Over,Katy Perry
You Need To Calm Down,Taylor Swift
Nightmare,Halsey
Cross Me,Ed Sheeran Featuring Chance The Rapper & PnB Rock
Truth Hurts,Lizzo
Easier,5 Seconds Of Summer
"Break Up With Your Girlfriend, I'm Bored",Ariana Grande
ME!,Taylor Swift Featuring Brendon Urie
Senorita,Shawn Mendes & Camila Cabello
La La Land,Bryce Vine Featuring YG
Speechless,Dan + Shay
When The Party's Over,Billie Eilish
Just Us,DJ Khaled Featuring SZA
Love Me Less,MAX & Quinn XCII
Wake Up,Travis Scott
Find U Again,Mark Ronson Featuring Camila Cabello
Call You Mine,The Chainsmokers & Bebe Rexha
Someone You Loved,Lewis Capaldi
Summer Days,Martin Garrix Featuring Macklemore & Patrick Stump
Walk Me Home,P!nk
All My Friends,AJ Mitchell
Paradise,Bazzi
Trampoline,SHAED
Chlorine,twenty one pilots
Look Back At It,A Boogie Wit da Hoodie
Con Calma,Daddy Yankee & Katy Perry Featuring Snow
Mother's Daughter,Miley Cyrus
So Close,NOTD & Felix Jaehn Featuring Georgia Ku & Captain Cuts
Lips Don't Lie,Ally Brooke Featuring A Boogie Wit da Hoodie
Who Do You Love,The Chainsmokers Featuring 5 Seconds Of Summer
I Don't Care,Ed Sheeran & Justin Bieber
Bad Guy,Billie Eilish
Talk,Khalid
If I Can't Have You,Shawn Mendes
Sucker,Jonas Brothers
"Hey Look Ma, I Made It",Panic! At The Disco
Truth Hurts,Lizzo
Senorita,Shawn Mendes & Camila Cabello
You Need To Calm Down,Taylor Swift
Dancing With A Stranger,Sam Smith & Normani
Never Really Over,Katy Perry
Wow.,Post Malone
Good,es'
Old Town Road,Lil Nas X Featuring Billy Ray Cyrus
Easier,5 Seconds Of Summer
Someone You Loved,Lewis Capaldi
Speechless,Dan + Shay
Beautiful People,Ed Sheeran Featuring Khalid
Only Human,Jonas Brothers
La La Land,Bryce Vine Featuring YG
Call You Mine,The Chainsmokers & Bebe Rexha
Love Me Less,MAX & Quinn XCII
Just Us,DJ Khaled Featuring SZA
Cool,Jonas Brothers
Nightmare,Halsey
The Git Up,Blanco Brown
Trampoline,SHAED
Find U Again,Mark Ronson Featuring Camila Cabello
Summer Days,Martin Garrix Featuring Macklemore & Patrick Stump
Mother's Daughter,Miley Cyrus
Hate Me,Ellie Goulding & Juice WRLD
Paradise,Bazzi
How Do You Sleep?,Sam Smith
When The Party's Over,Billie Eilish
Cross Me,Ed Sheeran Featuring Chance The Rapper & PnB Rock
All The Time,Zara Larsson
One Thing Right,Marshmello & Kane Brown
Look Back At It,A Boogie Wit da Hoodie
With You,Kaskade & Meghan Trainor
Panini,Lil Nas X
Senorita,Shawn Mendes & Camila Cabello
Truth Hurts,Lizzo
I Don't Care,Ed Sheeran & Justin Bieber
Bad Guy,Billie Eilish
If I Can't Have You,Shawn Mendes
Talk,Khalid
Good,es'
Sucker,Jonas Brothers
You Need To Calm Down,Taylor Swift
Beautiful People,Ed Sheeran Featuring Khalid
Boyfriend,Ariana Grande & Social House
Someone You Loved,Lewis Capaldi
Easier,5 Seconds Of Summer
Only Human,Jonas Brothers
Dancing With A Stranger,Sam Smith & Normani
Trampoline,SHAED
How Do You Sleep?,Sam Smith
Speechless,Dan + Shay
Love Me Less,MAX & Quinn XCII
Call You Mine,The Chainsmokers & Bebe Rexha
Time,NF
Hate Me,Ellie Goulding & Juice WRLD
The Git Up,Blanco Brown
